state,district,time_index,cases,deaths
Andhra Pradesh,,2020-01-01,881,7
Andhra Pradesh,,2020-04-01,82053,661
Andhra Pradesh,,2020-07-01,399676,3220
Andhra Pradesh,,2020-10-01,399676,3220
Andhra Pradesh,,2021-01-01,165783,1017
Andhra Pradesh,,2021-04-01,651290,3996
Andhra Pradesh,,2021-07-01,236833,1453
Andhra Pradesh,,2021-10-01,130258,799
Delhi,,2020-01-01,626,10
Delhi,,2020-04-01,58159,980
Delhi,,2020-07-01,283292,4773
Delhi,,2020-10-01,283292,4773
Delhi,,2021-01-01,114030,2038
Delhi,,2021-04-01,447976,8005
Delhi,,2021-07-01,162900,2911
Delhi,,2021-10-01,89595,1601
Gujarat,,2020-01-01,245,4
Gujarat,,2020-04-01,22789,400
Gujarat,,2020-07-01,111002,1951
Gujarat,,2020-10-01,111002,1951
Gujarat,,2021-01-01,81416,809
Gujarat,,2021-04-01,319846,3181
Gujarat,,2021-07-01,116308,1157
Gujarat,,2021-10-01,63969,636
Karnataka,,2020-01-01,919,12
Karnataka,,2020-04-01,85513,1124
Karnataka,,2020-07-01,416532,5477
Karnataka,,2020-10-01,416532,5477
Karnataka,,2021-01-01,289638,3639
Karnataka,,2021-04-01,1137860,14296
Karnataka,,2021-07-01,413767,5198
Karnataka,,2021-10-01,227572,2859
Kerala,,2020-01-01,761,3
Kerala,,2020-04-01,70767,286
Kerala,,2020-07-01,344703,1392
Kerala,,2020-10-01,344703,1392
Kerala,,2021-01-01,589080,4005
Kerala,,2021-04-01,2314248,15734
Kerala,,2021-07-01,841545,5722
Kerala,,2021-10-01,462850,3147
Maharashtra,,2020-01-01,1932,50
Maharashtra,,2020-04-01,179686,4605
Maharashtra,,2020-07-01,875247,22433
Maharashtra,,2020-10-01,875247,22433
Maharashtra,,2021-01-01,655056,12698
Maharashtra,,2021-04-01,2573431,49882
Maharashtra,,2021-07-01,935793,18139
Maharashtra,,2021-10-01,514686,9976
Rajasthan,,2020-01-01,308,3
Rajasthan,,2020-04-01,28667,251
Rajasthan,,2020-07-01,139634,1221
Rajasthan,,2020-10-01,139634,1221
Rajasthan,,2021-01-01,90467,876
Rajasthan,,2021-04-01,355402,3442
Rajasthan,,2021-07-01,129237,1252
Rajasthan,,2021-10-01,71080,688
Tamil Nadu,,2020-01-01,819,13
Tamil Nadu,,2020-04-01,76075,1127
Tamil Nadu,,2020-07-01,370560,5491
Tamil Nadu,,2020-10-01,370560,5491
Tamil Nadu,,2021-01-01,263845,3359
Tamil Nadu,,2021-04-01,1036535,13197
Tamil Nadu,,2021-07-01,376922,4799
Tamil Nadu,,2021-10-01,207307,2639
Uttar Pradesh,,2020-01-01,584,9
Uttar Pradesh,,2020-04-01,54402,777
Uttar Pradesh,,2020-07-01,264990,3783
Uttar Pradesh,,2020-10-01,264990,3783
Uttar Pradesh,,2021-01-01,157527,2037
Uttar Pradesh,,2021-04-01,618856,8001
Uttar Pradesh,,2021-07-01,225038,2910
Uttar Pradesh,,2021-10-01,123771,1600
West Bengal,,2020-01-01,551,9
West Bengal,,2020-04-01,51342,903
West Bengal,,2020-07-01,250085,4400
West Bengal,,2020-10-01,250085,4400
West Bengal,,2021-01-01,145718,1320
West Bengal,,2021-04-01,572465,5186
West Bengal,,2021-07-01,208169,1886
West Bengal,,2021-10-01,114493,1037
