State/UT,Year,Confirmed_Cases,Deaths,Recovered,CFR_Percent
Maharashtra,2020,1932112,49521,1828546,2.56
Maharashtra,2021,4678966,90695,4622039,1.94
Kerala,2020,760934,3073,692480,0.4
Kerala,2021,4207723,28608,4164701,0.68
Karnataka,2020,919496,12090,896116,1.31
Karnataka,2021,2068837,25992,2045462,1.26
Tamil Nadu,2020,818014,12122,797391,1.48
Tamil Nadu,2021,1884609,23994,1857624,1.27
Delhi,2020,625369,10536,609322,1.68
Delhi,2021,814501,14555,805109,1.79
West Bengal,2020,552063,9712,530366,1.76
West Bengal,2021,1040845,9429,1035105,0.91
Uttar Pradesh,2020,584966,8352,562459,1.43
Uttar Pradesh,2021,1125192,14548,1124692,1.29
Andhra Pradesh,2020,882286,7108,871916,0.81
Andhra Pradesh,2021,1184164,7265,1175806,0.61
Gujarat,2020,245038,4306,230993,1.76
Gujarat,2021,581539,5783,585290,0.99
Rajasthan,2020,308243,2696,295987,0.87
Rajasthan,2021,646186,6258,649456,0.97
